iter	Passed	Remaining
460	792	926
461	793	923
462	794	921
463	796	919
464	798	918
465	799	915
466	800	913
467	802	911
468	803	909
469	804	907
470	805	904
471	806	902
472	808	900
473	809	897
474	810	896
475	812	894
476	813	891
477	815	890
478	816	888
479	817	885
480	818	883
481	820	881
482	821	879
483	822	877
484	823	874
485	825	873
486	827	871
487	828	869
488	829	867
489	831	865
490	832	863
491	833	860
492	834	858
493	836	856
494	837	854
495	838	852
496	839	850
497	841	848
498	843	846
499	844	844
500	846	842
501	847	840
502	848	838
503	849	836
504	851	834
505	852	832
506	853	829
507	855	828
508	857	827
509	859	825
510	860	823
511	861	821
512	863	819
513	864	817
514	865	815
515	866	813
516	868	811
517	869	809
518	871	807
519	872	805
520	873	803
521	875	801
522	876	799
523	877	797
524	879	795
525	880	793
526	881	791
527	883	789
528	884	787
529	885	785
530	887	783
531	888	781
532	890	779
533	891	777
534	892	775
535	893	773
536	895	771
537	896	769
538	897	767
539	898	765
540	900	764
541	901	762
542	903	760
543	904	758
544	906	756
545	907	754
546	908	752
547	909	750
548	910	748
549	911	746
550	913	744
551	914	742
552	916	740
553	917	738
554	918	736
555	919	734
556	921	732
557	922	730
558	923	728
559	924	726
560	926	724
561	927	722
562	928	720
563	930	719
564	932	718
565	934	716
566	935	714
567	936	712
568	937	710
569	938	708
570	939	706
571	941	704
572	942	702
573	944	700
574	945	699
575	947	697
576	948	695
577	950	693
578	951	691
579	952	690
580	954	688
581	955	686
582	956	684
583	957	682
584	959	680
585	960	678
586	962	677
587	963	675
588	965	673
589	966	671
590	968	669
591	969	668
592	970	666
593	971	664
594	972	662
595	974	660
596	976	658
597	978	657
598	980	656
599	981	654
600	983	652
601	984	651
602	985	649
603	987	647
604	988	645
605	990	643
606	991	642
607	993	640
608	994	638
609	995	636
610	996	634
611	997	632
612	999	630
613	1000	628
614	1001	626
615	1002	625
616	1004	623
617	1005	621
618	1007	620
619	1008	618
620	1010	616
621	1011	614
622	1012	612
623	1013	610
624	1015	609
625	1016	607
626	1017	605
627	1019	603
628	1020	602
629	1022	600
630	1023	598
631	1024	596
632	1026	594
633	1027	593
634	1028	591
635	1029	589
636	1030	587
637	1032	585
638	1033	584
639	1035	582
640	1037	580
641	1038	579
642	1040	577
643	1041	575
644	1042	574
645	1044	572
646	1045	570
647	1046	568
648	1048	566
649	1049	565
650	1051	563
651	1052	561
652	1054	560
653	1056	558
654	1057	557
655	1059	555
656	1060	553
657	1061	551
658	1062	549
659	1064	548
660	1066	546
661	1067	545
662	1069	543
663	1070	541
664	1071	539
665	1072	537
666	1074	536
667	1075	534
668	1076	532
669	1077	530
670	1079	529
671	1081	527
672	1082	525
673	1083	524
674	1084	522
675	1086	520
676	1087	518
677	1088	517
678	1089	515
679	1091	513
680	1092	511
681	1093	510
682	1095	508
683	1097	506
684	1098	505
685	1099	503
686	1100	501
687	1102	499
688	1103	497
689	1104	496
690	1105	494
691	1107	492
692	1109	491
693	1111	489
694	1112	488
695	1114	486
696	1115	484
697	1117	483
698	1118	481
699	1119	479
700	1120	478
701	1122	476
702	1123	474
703	1124	472
704	1126	471
705	1127	469
706	1128	467
707	1130	466
708	1131	464
709	1132	462
710	1134	461
711	1135	459
712	1136	457
713	1137	455
714	1139	454
715	1141	452
716	1142	451
717	1144	449
718	1145	447
719	1147	446
720	1148	444
721	1149	442
722	1150	440
723	1151	439
724	1153	437
725	1155	435
726	1156	434
727	1157	432
728	1159	430
729	1160	429
730	1161	427
731	1162	425
732	1163	423
733	1165	422
734	1166	420
735	1167	418
736	1168	417
737	1170	415
738	1171	413
739	1172	411
740	1173	410
741	1174	408
742	1175	406
743	1176	404
744	1177	403
745	1178	401
746	1179	399
747	1180	397
748	1182	396
749	1183	394
750	1184	392
751	1186	391
752	1187	389
753	1188	387
754	1189	386
755	1191	384
756	1192	382
757	1193	380
758	1194	379
759	1195	377
760	1196	375
761	1197	374
762	1199	372
763	1200	370
764	1202	369
765	1203	367
766	1204	365
767	1205	364
768	1206	362
769	1207	360
770	1208	359
771	1209	357
772	1210	355
773	1212	353
774	1213	352
775	1214	350
776	1216	348
777	1217	347
778	1218	345
779	1219	343
780	1220	342
781	1221	340
782	1222	338
783	1223	337
784	1224	335
785	1226	333
786	1227	332
787	1228	330
788	1230	329
789	1231	327
790	1232	325
791	1234	324
792	1235	322
793	1236	320
794	1237	319
795	1238	317
796	1239	315
797	1241	314
798	1242	312
799	1243	310
800	1245	309
801	1246	307
802	1247	306
803	1248	304
804	1249	302
805	1250	301
806	1252	299
807	1253	297
808	1254	296
809	1255	294
810	1256	292
811	1257	291
812	1259	289
813	1260	287
814	1261	286
815	1262	284
816	1263	283
817	1264	281
818	1265	279
819	1267	278
820	1268	276
821	1269	274
822	1270	273
823	1271	271
824	1272	269
825	1274	268
826	1275	266
827	1276	265
828	1278	263
829	1279	262
830	1280	260
831	1281	258
832	1282	257
833	1283	255
834	1284	253
835	1285	252
836	1286	250
837	1288	249
838	1290	247
839	1291	245
840	1292	244
841	1293	242
842	1294	241
843	1295	239
844	1296	237
845	1298	236
846	1299	234
847	1300	233
848	1301	231
849	1302	229
850	1304	228
851	1305	226
852	1307	225
853	1308	223
854	1309	222
855	1310	220
856	1312	218
857	1313	217
858	1314	215
859	1315	214
860	1316	212
861	1318	211
862	1319	209
863	1321	207
864	1322	206
865	1323	204
866	1325	203
867	1327	201
868	1328	200
869	1329	198
870	1330	197
871	1331	195
872	1332	193
873	1334	192
874	1335	190
875	1337	189
876	1338	187
877	1339	186
878	1341	184
879	1342	183
880	1343	181
881	1344	179
882	1345	178
883	1346	176
884	1348	175
885	1349	173
886	1351	172
887	1352	170
888	1353	169
889	1355	167
890	1356	165
891	1357	164
892	1359	162
893	1360	161
894	1361	159
895	1363	158
896	1364	156
897	1366	155
898	1367	153
899	1368	152
900	1369	150
901	1370	148
902	1372	147
903	1373	145
904	1374	144
905	1375	142
906	1376	141
907	1378	139
908	1379	138
909	1380	136
910	1381	134
911	1382	133
912	1384	131
913	1385	130
914	1386	128
915	1387	127
916	1388	125
917	1389	124
918	1390	122
919	1391	121
920	1393	119
921	1394	117
922	1395	116
923	1396	114
924	1397	113
925	1399	111
926	1400	110
927	1401	108
928	1402	107
929	1403	105
930	1404	104
931	1405	102
932	1407	101
933	1408	99
934	1409	98
935	1410	96
936	1411	94
937	1413	93
938	1414	91
939	1415	90
940	1416	88
941	1417	87
942	1418	85
943	1420	84
944	1421	82
945	1422	81
946	1424	79
947	1425	78
948	1426	76
949	1428	75
950	1429	73
951	1430	72
952	1431	70
953	1432	69
954	1433	67
955	1435	66
956	1436	64
957	1437	63
958	1439	61
959	1440	60
960	1441	58
961	1442	56
962	1443	55
963	1444	53
964	1445	52
965	1446	50
966	1447	49
967	1448	47
968	1449	46
969	1451	44
970	1452	43
971	1453	41
972	1455	40
973	1456	38
974	1457	37
975	1458	35
976	1459	34
977	1460	32
978	1461	31
979	1462	29
980	1463	28
981	1464	26
982	1466	25
983	1467	23
984	1469	22
985	1470	20
986	1472	19
987	1473	17
988	1474	16
989	1475	14
990	1476	13
991	1477	11
992	1478	10
993	1479	8
994	1481	7
995	1483	5
996	1484	4
997	1485	2
998	1487	1
999	1488	0
